region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
2,Maxwell Park Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
2,Maxwell Park Elementary,Extended Learning Time,,Learning for Life,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Maxwell Park Elementary,Health & Wellness,,Ann Martin Children's Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
2,Maxwell Park Elementary ,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Learning for Life,After School Reading Intervention,After School Literacy,11/01/2011,,,,,
2,Maxwell Park Elementary ,Extended Learning Time,,Bay Area Community Resources (BACR) & AmeriCorps,Enrichment,Academic Support,11/01/2011,,,,,
2,Maxwell Park Elementary ,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Eastside Arts Alliance,After School Art Classes,After School Enrichment,11/01/2011,,,,,
2,Maxwell Park Elementary ,Extended Learning Time,Transitions & Pathways PreK-12,OUSD," Summer Prep Program, Summer Pre-K Camp",Summer Prep Program,11/01/2011,,,,,
2,Maxwell Park Elementary ,Family & Community Engagement,,"Bayla Turner, Independent Contractor",Parent Engagement,Family Engagement,11/01/2011,,,,,
2,Maxwell Park Elementary ,Family & Community Engagement,,Gail Turner & Associates,After School Parenting Classes,After School Parent Classes,11/01/2011,,,,,
2,Maxwell Park Elementary ,Family & Community Engagement,,VISTA,Family Coordinator,Family Engagement,11/11/2011,,,,,
2,Maxwell Park Elementary ,Health & Wellness,,Independent Contractor,Arts Education Steel pan drumming,Arts Enrichment/Physical & Recreational Activity,11/01/2011,,,,,
2,Maxwell Park Elementary ,Health & Wellness,,Oakland Parks & Recreation (OPR),Physical Education,Physical & Recreational Activity,11/11/2011,,,,,
2,Maxwell Park Elementary ,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
2,Maxwell Park Elementary ,"Science, Technology, Engineering & Mathematics (STEM)","College, Career & Workforce",Bechtel,Engineering Career Prep/Science Enrichment,Science Education/Career Prep,11/11/2011,,,,,
2,Maxwell Park Elementary ,"Science, Technology, Engineering & Mathematics (STEM)","College, Career & Workforce",Bechtel & Learning for Life,After School Engineering Career Prep/Science Enrichment,Science Education/Career Prep,11/11/2011,,,,,
High School,McClymonds,Accelerating Students through Targeted Approaches,"College, Career & Workforce",Manhood Development,Academic and College Preparation Support for African American Male Students,College Advising,11/11/2011,,,,,
High School,McClymonds,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,McClymonds,"College, Career & Workforce",,College Track,College and Career Prep,College Preparation,11/11/2011,,,,,
High School,McClymonds,Extended Learning Time,,Alternatives in Action,"After School Lead Program OUSD, College prep services (visits - test prep applications; scholarship prep)",After School Program,11/11/2011,,,,,
High School,McClymonds,Extended Learning Time,,Alternatives in Action (fundraising),Afternoon enrichment program for summer students,Summer Afterschool Program,11/01/2011,,,,,
High School,McClymonds,Extended Learning Time,Transitions & Pathways PreK-12,OUSD,"Summer STEP UP Bridge Program, transition support for rising 9th graders",Summer Prep Program,11/01/2011,,,,,
High School,McClymonds,Extended Learning Time,,Student Program for Academic & Athletic Transitioning,"Study Hall, homework tutoring",Academic Support,11/11/2011,,,,,
High School,McClymonds,Family & Community Engagement,,?,Family Advocate,Family Advocate,11/11/2011,,,,,
High School,McClymonds,Family & Community Engagement,,Alternatives in Action,Parent workshops,Parent Workshops,11/11/2011,,,,,
High School,McClymonds,Health & Wellness,,Children's Hospital & Research Center Oakland (CHRCO),Mental Health Counseling,Mental Health Services,11/01/2011,,,,,
High School,McClymonds,Health & Wellness,,Children's Hospital & Research Center Oakland (CHRCO),School Based Health Center (SBHC) Chappell Hayes Health Center; peer health education,School Based Health Center/Health Services,11/01/2011,,,,,
High School,McClymonds,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,03/12/2012,,,,,
High School,McClymonds,School Culture,Accelerating Students through Targeted Approaches,Alternatives in Action,African American Male leadership and mentoring,Mentoring,11/11/2011,,,,,
High School,McClymonds,School Culture,"College, Career & Workforce",Alternatives in Action,Culture keepers mentoring with Hoover,Mentoring,11/11/2011,,,,,
High School,McClymonds,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
Transformation,Media College Prep Academy,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,Media College Prep Academy,"College, Career & Workforce",,Mills Educational Talent Search Program (METS),Academic and College Advising,College Advising,11/01/2011,,,,,
Transformation,Media College Prep Academy,Extended Learning Time,Transitions & Pathways PreK-12,OUSD," Summer Prep Program, High School Credit Recovery, Summer Bridge (With Mandela and CPAA)",Summer Prep Program,11/11/2011,,,,,
Transformation,Media College Prep Academy,Extended Learning Time,,YMCA of the East Bay,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
Transformation,Media College Prep Academy,Health & Wellness,,Bechtel,Bechtel Wellness Champions,Coordinated School Health/Nutrition,11/01/2011,,,,,
Transformation,Media College Prep Academy,Health & Wellness,,"Girls, Inc.",Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,Media College Prep Academy,Health & Wellness,,La Clinica de la Raza,Mental Health Services,Mental Health Services,11/11/2011,,,,,
Transformation,Media College Prep Academy,School Culture,,Libré,Youth development/gang intervention,Violence Prevention,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Extended Learning Time,,OUSD," Summer Prep Program, Aspiranet LEAP Program for incoming 6th graders and Aspiranet K-2 Dual Immersion Program",Summer Prep Program,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Family & Community Engagement,,Aspiranet,Family Engagement,Family Engagement,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Family & Community Engagement,,Unidos Indalante,"Parent Volunteer Committee, Facilities Committee, Fundraising Committee",Family Engagement,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Health & Wellness,Extended Learning Time,Aspiranet,Community Bridges After School Program,After School Physical & Recreational Activity,11/01/2011,,,,,
2,Melrose Leadership Academy Middle School,Health & Wellness,,Fred Finch Youth Services,Mental Health Services,Mental Health Services,11/01/2011,,,,,
2,Melrose Leadership Academy Middle School,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Health & Wellness,Family & Community Engagement,The Crucible ,Greenhouse project and parent workshops,Nutrition/Family Engagement,11/11/2011,,,,,
2,Melrose Leadership Academy Middle School,Health & Wellness,,Volunteers,"Nutrition/Garden education Yes, Garden - volunteer-run, StopWaste",Garden,11/01/2011,,,,,
2,Melrose Leadership Academy Middle School,School Culture,,OUSD,Restorative Justice Program,Restorative Justice,11/01/2011,,,,,
2,Melrose Leadership Academy Middle School,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
High School,Met West High School,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,Met West High School,"College, Career & Workforce",,East Bay Consortium ,college and career readiness,College & Career Prep,11/01/2011,,,,,
High School,Met West High School,"College, Career & Workforce",,OUSD,CAHSEE prep classes ,Academic Support,11/01/2011,,,,,
High School,Met West High School,"College, Career & Workforce",,Summer Search,"Summer Program, College Advising, Mentoring",Summer Program and Mentoring,11/11/2011,,,,,
High School,Met West High School,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,?,Tutoring daily ,Academic Support,11/11/2011,,,,,
High School,Met West High School,Extended Learning Time,Accelerating Students through Targeted Approaches,Eastside Arts Alliance,"Political theater courses, graffiti classes, leadership/self identity for girls, ethnic studies, Raza studies, professional development, collaboration",Arts Enrichment,11/01/2011,,,,,
High School,Met West High School,Extended Learning Time,,OUSD,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
High School,Met West High School,Extended Learning Time,,Rock Paper Scissors (RPS Collective),"Street Styles - fashion class and collaborative work across the city, put on exhibit, and mentoring, arts education",Arts Enrichment,11/11/2011,,,,,
High School,Met West High School,Family & Community Engagement,,Lincoln Child Center,Parent Classes ,Family Engagement,11/11/2011,,,,,
High School,Met West High School,Health & Wellness,"College, Career & Workforce",Cycles of Change,"Internships for students, mentors, bike racing team, girls biking group, riding club, ",Physical & Recreational Activity/Career Prep,11/01/2011,,,,,
High School,Met West High School,Health & Wellness,,Destiny Arts,Hip hop dance class,Physical & Recreational Activity,11/01/2011,,,,,
High School,Met West High School,Health & Wellness,,Eastside Arts Alliance Contractor,Yoga,Physical & Recreational Activity,11/11/2011,,,,,
High School,Met West High School,Health & Wellness,Extended Learning Time,Greg Cluster Instructor from school,Salsa Dance,Arts Enrichment/Physical & Recreational Activity,11/11/2011,,,,,
